dateRep,day,month,year,cases,deaths,countriesAndTerritories
31-05-2021,31,5,2021,366,5,Austria
30-05-2021,30,5,2021,570,6,Austria
29-05-2021,29,5,2021,538,11,Austria
28-05-2021,28,5,2021,639,4,Austria
27-05-2021,27,5,2021,405,19,Austria
26-05-2021,26,5,2021,287,8,Austria
25-05-2021,25,5,2021,342,3,Austria
24-05-2021,24,5,2021,520,3,Austria
23-05-2021,23,5,2021,626,8,Austria
22-05-2021,22,5,2021,671,12,Austria
21-05-2021,21,5,2021,603,8,Austria
20-05-2021,20,5,2021,866,13,Austria
19-05-2021,19,5,2021,630,11,Austria
18-05-2021,18,5,2021,391,15,Austria
17-05-2021,17,5,2021,676,6,Austria
16-05-2021,16,5,2021,684,12,Austria
15-05-2021,15,5,2021,721,14,Austria
14-05-2021,14,5,2021,1100,11,Austria
13-05-2021,13,5,2021,1179,14,Austria
12/5/2021,12,5,2021,968,19,Austria
11/5/2021,11,5,2021,670,16,Austria
10/5/2021,10,5,2021,1009,11,Austria
9/5/2021,9,5,2021,1251,14,Austria
8/5/2021,8,5,2021,1383,23,Austria
7/5/2021,7,5,2021,1220,8,Austria
6/5/2021,6,5,2021,1682,26,Austria
5/5/2021,5,5,2021,1297,25,Austria
4/5/2021,4,5,2021,888,25,Austria
3/5/2021,3,5,2021,1732,11,Austria
2/5/2021,2,5,2021,1655,16,Austria
1/5/2021,1,5,2021,2231,26,Austria
30-04-2021,30,4,2021,1995,33,Austria
29-04-2021,29,4,2021,2286,29,Austria
28-04-2021,28,4,2021,1557,20,Austria
27-04-2021,27,4,2021,1380,22,Austria
26-04-2021,26,4,2021,2091,11,Austria
25-04-2021,25,4,2021,2231,15,Austria
24-04-2021,24,4,2021,2407,32,Austria
23-04-2021,23,4,2021,2347,25,Austria
22-04-2021,22,4,2021,2377,40,Austria
21-04-2021,21,4,2021,2005,27,Austria
20-04-2021,20,4,2021,1792,32,Austria
19-04-2021,19,4,2021,2159,34,Austria
18-04-2021,18,4,2021,2591,23,Austria
17-04-2021,17,4,2021,2348,30,Austria
16-04-2021,16,4,2021,2561,33,Austria
15-04-2021,15,4,2021,2855,31,Austria
14-04-2021,14,4,2021,2032,51,Austria
13-04-2021,13,4,2021,1770,37,Austria
12/4/2021,12,4,2021,2139,18,Austria
11/4/2021,11,4,2021,3559,27,Austria
10/4/2021,10,4,2021,2432,34,Austria
9/4/2021,9,4,2021,3052,36,Austria
8/4/2021,8,4,2021,3006,46,Austria
7/4/2021,7,4,2021,2077,35,Austria
6/4/2021,6,4,2021,2268,26,Austria
5/4/2021,5,4,2021,2915,24,Austria
4/4/2021,4,4,2021,3693,23,Austria
3/4/2021,3,4,2021,3077,33,Austria
2/4/2021,2,4,2021,3058,23,Austria
1/4/2021,1,4,2021,3107,28,Austria
31-03-2021,31,3,2021,2810,28,Austria
30-03-2021,30,3,2021,3240,24,Austria
29-03-2021,29,3,2021,2667,11,Austria
28-03-2021,28,3,2021,3896,27,Austria
